function,arguments,owner,security_definer,public_execute,anon_execute,authenticated_execute,service_role_execute,referenced_tables,risk
gbt_intv_distance,"internal, interval, smallint, oid, internal",supabase_admin,false,true,true,true,true,,High
gbt_intv_fetch,internal,supabase_admin,false,true,true,true,true,,High
gbt_intv_penalty,"internal, internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_intv_picksplit,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_intv_same,"gbtreekey32, gbtreekey32, internal",supabase_admin,false,true,true,true,true,,High
gbt_intv_union,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_macad8_compress,internal,supabase_admin,false,true,true,true,true,,High
gbt_macad8_consistent,"internal, macaddr8, smallint, oid, internal",supabase_admin,false,true,true,true,true,,High
gbt_macad8_fetch,internal,supabase_admin,false,true,true,true,true,,High
gbt_macad8_penalty,"internal, internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_macad8_picksplit,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_macad8_same,"gbtreekey16, gbtreekey16, internal",supabase_admin,false,true,true,true,true,,High
gbt_macad8_union,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_macad_compress,internal,supabase_admin,false,true,true,true,true,,High
gbt_macad_consistent,"internal, macaddr, smallint, oid, internal",supabase_admin,false,true,true,true,true,,High
gbt_macad_fetch,internal,supabase_admin,false,true,true,true,true,,High
gbt_macad_penalty,"internal, internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_macad_picksplit,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_macad_same,"gbtreekey16, gbtreekey16, internal",supabase_admin,false,true,true,true,true,,High
gbt_macad_union,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_numeric_compress,internal,supabase_admin,false,true,true,true,true,,High
gbt_numeric_consistent,"internal, numeric, smallint, oid, internal",supabase_admin,false,true,true,true,true,,High
gbt_numeric_penalty,"internal, internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_numeric_picksplit,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_numeric_same,"gbtreekey_var, gbtreekey_var, internal",supabase_admin,false,true,true,true,true,,High
gbt_numeric_union,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_oid_compress,internal,supabase_admin,false,true,true,true,true,,High
gbt_oid_consistent,"internal, oid, smallint, oid, internal",supabase_admin,false,true,true,true,true,,High
gbt_oid_distance,"internal, oid, smallint, oid, internal",supabase_admin,false,true,true,true,true,,High
gbt_oid_fetch,internal,supabase_admin,false,true,true,true,true,,High
gbt_oid_penalty,"internal, internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_oid_picksplit,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_oid_same,"gbtreekey8, gbtreekey8, internal",supabase_admin,false,true,true,true,true,,High
gbt_oid_union,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_text_compress,internal,supabase_admin,false,true,true,true,true,,High
gbt_text_consistent,"internal, text, smallint, oid, internal",supabase_admin,false,true,true,true,true,,High
gbt_text_penalty,"internal, internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_text_picksplit,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_text_same,"gbtreekey_var, gbtreekey_var, internal",supabase_admin,false,true,true,true,true,,High
gbt_text_union,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_time_compress,internal,supabase_admin,false,true,true,true,true,,High
gbt_time_consistent,"internal, time without time zone, smallint, oid, internal",supabase_admin,false,true,true,true,true,,High
gbt_time_distance,"internal, time without time zone, smallint, oid, internal",supabase_admin,false,true,true,true,true,,High
gbt_time_fetch,internal,supabase_admin,false,true,true,true,true,,High
gbt_time_penalty,"internal, internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_time_picksplit,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_time_same,"gbtreekey16, gbtreekey16, internal",supabase_admin,false,true,true,true,true,,High
gbt_time_union,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_timetz_compress,internal,supabase_admin,false,true,true,true,true,,High
gbt_timetz_consistent,"internal, time with time zone, smallint, oid, internal",supabase_admin,false,true,true,true,true,,High
gbt_ts_compress,internal,supabase_admin,false,true,true,true,true,,High
gbt_ts_consistent,"internal, timestamp without time zone, smallint, oid, internal",supabase_admin,false,true,true,true,true,,High
gbt_ts_distance,"internal, timestamp without time zone, smallint, oid, internal",supabase_admin,false,true,true,true,true,,High
gbt_ts_fetch,internal,supabase_admin,false,true,true,true,true,,High
gbt_ts_penalty,"internal, internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_ts_picksplit,"internal, internal",supabase_admin,false,true,true,true,true,,High
